#word	valence	arousal	dominance	w
cork	5.22	3.8	4.98	0
corner	4.36	3.91	4.12	0
corpse	2.18	4.74	3.59	0
corridor	4.88	3.63	5	0
corrupt	3.32	4.67	4.64	0
cottage	6.45	3.39	5.39	0
couple	7.41	6.39	6.02	0
cow	5.57	3.49	5.32	0
coward	2.74	4.07	2.83	0
cozy	7.39	3.32	4.89	0
crash	2.31	6.95	3.44	0
crime	2.89	5.41	4.12	0
criminal	2.93	4.79	3.34	0
crisis	2.74	5.44	3.6	0
crown	6.58	4.28	6.06	0
crucify	2.23	6.47	3.74	0
crude	3.12	5.07	4.27	0
cruel	1.97	5.68	4.24	0
crushed	2.21	5.52	3.36	0
crutch	3.43	4.14	3.91	0
cuddle	7.72	4.4	5.85	0
cuisine	6.64	4.39	5.41	0
curious	6.08	5.82	5.42	0
curtains	4.83	3.67	5.05	0
custom	5.85	4.66	5	0
cut	3.64	5	4.7	0
cute	7.62	5.53	4.86	0
cyclone	3.6	6.36	4.89	0
dagger	3.38	6.14	4.52	0
damage	3.05	5.57	3.88	0
dancer	7.14	6	6.02	0
danger	2.95	7.32	3.59	0
dark	4.71	4.28	4.84	0
dawn	6.16	4.39	5.16	0
daylight	6.8	4.77	5.48	0
dazzle	7.29	6.33	5.62	0
dead	1.94	5.73	2.84	0
death	1.61	4.59	3.47	0
debt	2.22	5.68	3.02	0
deceit	2.9	5.68	3.95	0
decompose	3.2	4.65	4.02	0
decorate	6.93	5.14	6.05	0
defeated	2.34	5.09	3.11	0
defiant	4.26	6.1	5.77	0
deformed	2.41	4.07	3.95	0
delayed	3.07	5.62	3.64	0
delight	8.26	5.44	5.79	0
demon	2.11	6.76	4.89	0
dentist	4.02	5.73	3.8	0
depressed	1.83	4.72	2.74	0
depression	1.85	4.54	2.91	0
derelict	4.28	4.1	4.78	0
deserter	2.45	5.5	3.77	0
desire	7.69	7.35	6.49	0
despairing	2.43	5.68	3.43	0
despise	2.03	6.28	4.72	0
destroy	2.64	6.83	4.94	0
destruction	3.16	5.82	3.93	0
detached	3.86	4.26	3.63	0
detail	5.55	4.1	5.21	0
detest	2.17	6.06	5.83	0
devil	2.21	6.07	5.35	0
devoted	7.41	5.23	6.18	0
diamond	7.92	5.53	5.54	0
dignified	7.1	4.12	6.12	0
dinner	7.16	5.43	6.1	0
diploma	8	5.67	6.76	0
dirt	4.17	3.76	4.83	0
dirty	3.08	4.88	4.7	0
disappoint	2.39	4.92	3.29	0
disaster	1.73	6.33	3.52	0
discomfort	2.19	4.17	3.86	0
discouraged	3	4.53	3.61	0
disdainful	3.68	5.04	4.55	0
disgusted	2.45	5.42	4.34	0
disloyal	1.93	6.56	3.79	0
displeased	2.79	5.64	4.19	0
distressed	1.94	6.4	3.76	0
disturb	3.66	5.8	4.55	0
diver	6.45	5.04	5.04	0
divorce	2.22	6.33	3.26	0
doctor	5.2	5.86	4.89	0
dog	7.57	5.76	6.25	0
doll	6.09	4.24	4.61	0
dollar	7.47	6.07	6.33	0
door	5.13	3.8	4.69	0
dove	6.9	3.79	5.48	0
dentist	4.02	5.73	3.8	0
