#Term	pleasantness	attention	sensitivity	aptitude	polarity
rancher	0	0.067	0	0.058	0.042
rancor	0.034	0.126	0.758	-0.673	-0.424
random	0.037	0.094	-0.201	0.228	0.053
rank	0.034	0.105	0	0	0.046
rap	0.155	-0.099	0.028	0	0.075
rape	-0.141	0	-0.17	-0.087	-0.133
rapid	0.03	0.117	-0.045	0.153	0.085
rapid oxidation	0.021	0	-0.105	-0.049	-0.044
rapper	-0.038	0.124	0.105	0.099	0.027
rarely	0.03	0	0	0.051	0.027
raring	-0.494	0.4	-0.198	-0.195	-0.162
rash	0	0	0.947	-0.827	-0.591
rate	0	0.281	0	0.206	0.162
ration	0	0	0	-0.112	-0.037
rational	-0.091	0.242	-0.104	0.088	0.045
rational think	0.832	0.861	0	0.848	0.847
rattle	0.098	0	-0.048	0.112	0.054
rattling	0.046	-0.66	0	0.365	0.357
rave	0.098	-0.06	0	0	0.053
raven	-0.03	-0.029	0.027	-0.109	-0.046
raw	0	0	0.071	0	-0.024
ray	0.033	0.092	-0.087	0.069	0.036
raze	-0.079	-0.031	-0.067	-0.164	-0.093
razor	0	-0.069	0.071	-0.178	-0.06
razor blade	0.023	-0.013	0.079	-0.116	-0.053
reach	0	0.134	-0.107	0.224	0.084
reach advantage	-0.039	0.085	0	0.078	0.041
reach destination	0.08	-0.064	0.072	0	0.024
reach goal	0.741	0.912	0	0.944	0.866
reach high shelf	-0.068	-0.034	0.034	-0.087	-0.052
reach out	0	0.162	-0.1	0.28	0.114
reach star	0.994	0.745	0	0.812	0.85
reach tentative agreement	0	-0.033	0.027	0.071	0.026
read aloud	-0.148	0	0	-0.097	-0.082
read article	-0.067	-0.06	0.037	-0.148	-0.064
read bedtime story	0.965	0.954	0	0.845	0.921
read bible	0	0.843	0	0.867	0.57
read book subject	-0.113	-0.044	0.018	-0.182	-0.09
read carefully	-0.116	0	-0.095	0	-0.07
read comic	0	0.724	0	0.929	0.551
read cover	-0.115	0	0	0	-0.038
read direction	-0.09	-0.006	0	-0.078	-0.054
read email	-0.058	-0.076	0.088	-0.133	-0.068
read fine print	-0.059	0	-0.063	0	-0.041
read good book	0	0.846	0	0.82	0.555
read human	-0.068	-0.039	-0.045	0	-0.025
read instruction manual	0	0.788	0	0.86	0.549
read label	-0.111	0.11	-0.079	0	-0.027
read manual	-0.055	0	0.044	0	-0.033
read menu	0	0	0.031	-0.1	-0.044
read much	-0.048	0.104	0	0.064	0.04
read music	0	-0.061	0.093	-0.085	-0.039
read out loud	-0.071	-0.069	0.06	-0.24	-0.101
read paper	-0.08	-0.012	0	-0.103	-0.057
read program	0	0.873	0	0	0.291
read science book	-0.105	0	-0.058	0	-0.054
read story	0	0.898	0	0	0.299
read textbook	-0.113	-0.05	0	-0.167	-0.077
readable	0.026	0	0	0.084	0.037
ready	0	0.124	-0.072	0.207	0.086
ready troop	-0.136	-0.026	-0.11	-0.195	-0.138
real	0.092	0.205	-0.084	0.249	0.154
real duck	0	0.07	0	0	0.023
real estate	0	0.163	-0.049	0.13	0.081
realization	-0.03	0.112	-0.074	0.062	0.023
realize	-0.058	0.178	-0.129	0.142	0.044
really big	0.033	0.08	0.044	0.241	0.103
really good	0.886	0.98	0	0.767	0.878
really hot	0	0	-0.099	0	-0.033
really small	0	-0.034	0.034	0.108	0.036
really want	0.038	0.306	-0.226	0.313	0.144
reap	-0.034	0.102	-0.111	0.145	0.034
reaper	-0.089	0.14	-0.256	-0.126	-0.11
rear	-0.1	0.184	-0.148	0.179	0.038
rear end	-0.046	0.182	-0.104	0.203	0.078
reason	-0.097	0.286	-0.182	0.227	0.078
reason why	0	0.256	-0.052	0.228	0.144
reasonable	-0.087	0	-0.135	0.085	-0.046
reassurance	0.376	0.271	-0.195	0.258	0.237
reassure	0.52	0.666	-0.261	0.269	0.398
reassured	0.52	0.666	-0.261	0.269	0.398
reassuring	0.52	0.666	-0.261	0.269	0.398
reassuringly	0.52	0.666	-0.261	0.269	0.398
rebel	0	0	0.732	-0.755	-0.496
rebellion	0	0	0.859	-0.808	-0.556
reboot	-0.098	0	0.084	-0.121	-0.101
rebuttal	-0.086	0.101	-0.073	0.169	0.037
recall	-0.113	0.192	-0.058	0.061	0.027
receipt	-0.062	0.208	-0.104	0.079	0.04
receive	0	0.228	-0.276	0.377	0.11
receive email	-0.16	0	-0.087	0	-0.082
receive grade	-0.096	-0.037	0	-0.144	-0.068
receive information	0.75	0.973	0	0.901	0.875
receive letter	0	0.771	0	0	0.257
receive mail	0	0.982	0	0	0.327
receive money	0.025	0.228	-0.079	0.117	0.097
receive paycheck	0	0	0.03	-0.061	-0.03
receive punishment	-0.314	0.095	-0.233	-0.033	-0.162
receive reward	0.559	0.313	-0.212	0.261	0.307
receive service	0.033	0.179	-0.12	0.251	0.114
receive signal	0	-0.079	0.118	-0.076	-0.038
receive thank	0.143	0.179	-0.26	0.124	0.062
receiver	0	0	0	0.168	0.056
receptacle	0	0	0.042	-0.074	-0.039
reception	0.141	-0.125	-0.063	-0.06	0.048
receptionist	0	0	0	-0.137	-0.046
recipient	0	0	0.102	0	-0.034
reciprocal	0.073	0.256	-0.191	0.371	0.17
reckon	0	0	-0.116	0	-0.039
recognition	0.258	0.35	-0.235	0.318	0.23
recognize	-0.047	0.189	-0.067	0.09	0.055
recollection	-0.086	0.194	0	0.078	0.062
recommend	0.719	0.902	0	0.701	0.774
reconcile	-0.465	0.398	-0.173	-0.192	-0.144
reconsider	-0.03	0.128	-0.11	-0.085	-0.032
record album	-0.042	-0.058	0.136	-0.058	-0.059
record data	0	-0.096	0.115	-0.139	-0.053
record event	0	-0.042	0	-0.115	-0.024
record history	0	-0.066	0.059	-0.117	-0.037
record information	-0.052	0	0.015	-0.034	-0.034
record keep	-0.028	0.204	0	0.106	0.094
record movie	0	-0.08	0.101	-0.217	-0.079
record music	-0.024	0	0.066	0	-0.03
record record	0	-0.039	0.095	-0.084	-0.047
record song	0	-0.029	0.105	-0.106	-0.061
record sound	0.066	0	0	0.141	0.069
record store	-0.053	0	0.031	-0.028	-0.037
record studio	0	-0.008	-0.095	0	-0.029
record television show	-0.065	0	0.009	-0.036	-0.037
recreate	0	0.828	0	0.822	0.55
recreation	0	0.962	0	0.911	0.624
recreational	0.147	-0.041	0.094	0	0.031
recreational activity	0.077	-0.081	0.092	0.058	0.041
rectangle	0.025	0	0.061	0.141	0.035
rectangular	0.037	0.068	0.051	0.171	0.075
rectangular shape	0.034	0.141	0.024	0.239	0.13
rector	0.031	0.272	0	0.231	0.178
recuperate	0	0.877	0	0	0.292
recur	0	0.128	-0.067	0.172	0.078
recyclable	0	0.065	0	0.146	0.07
recycle paper	0	0	0	0.739	0.246
red	-0.076	0.101	0	0.105	0.043
red-bellied black snake	-0.028	-0.008	-0.052	-0.08	-0.051
red blue	-0.047	0.079	0	0.073	0.035
red cross	0	0.066	-0.058	0.095	0.034
red eye	-0.191	-0.012	-0.093	-0.037	-0.103
red green	-0.045	0.076	0.009	0.087	0.036
red indian	0	0.162	-0.177	0.219	0.068
red light	0	0.162	-0.083	0.197	0.092
red light district	0.167	0.092	-0.045	0.13	0.115
red octagon	0.021	0.093	0	0.185	0.1
red orange	-0.058	0.082	0	0.073	0.032
red rise	0.105	0.135	-0.135	0.172	0.092
red rose	0.104	0.123	-0.164	0.132	0.065
red skin	-0.078	0	0.115	-0.158	-0.117
red white blue	-0.075	0.073	0	0.09	0.029
red wine	0.122	-0.155	0.071	-0.069	0.046
red yellow	-0.069	0	0	0	-0.023
redness	0.035	0.077	0.069	0.061	0.035
redo	-0.031	0.213	0	0.268	0.15
reduce	-0.071	0.139	0	0.102	0.057
reduce pollution	-0.029	0	0.057	0	-0.029
reduce stress	0.939	0.865	0	0	0.601
reduce temperature	0.413	0.239	-0.091	0.137	0.233
reduction	0	0.079	0	0	0.026
refer	0.083	0.179	-0.132	0.256	0.129
reflect	-0.129	0.13	-0.107	-0.059	-0.055
reflect image	0	0	0	0.08	0.027
reflect light	-0.034	0.087	0	0.061	0.038
reflection	-0.024	0.13	0	0	0.035
reflective	0.096	0.529	-0.24	0.193	0.193
reflex	-0.068	0	-0.256	0.145	-0.06
refresh	0.1	0	0.011	0	0.03
refresh memory	0.066	-0.045	0.08	-0.146	-0.038
refuge	0	0.091	0	0.101	0.064
refuse	0	0	0	-0.101	-0.034
regal	0.091	0	-0.073	0.176	0.065
regard	0.405	0.638	-0.369	0.484	0.386
region	0.034	0.07	0.01	0.076	0.057
register vote	0	0.923	0	0	0.308
regret	-0.917	0.096	-0.724	0.098	-0.482
regretful	-0.869	0.195	-0.58	0	-0.418
regular	0	0.098	-0.073	0.136	0.054
regularly	0	0.152	0	0.119	0.09
regulation	0	0.178	0	0.182	0.12
rehearse	-0.032	0.114	0	0.111	0.064
reign	0.022	0.138	0	0.128	0.096
reinforce	0.165	0.297	-0.147	0.26	0.192
reinforcement	0.244	0.445	-0.325	0.454	0.273
reject	0	-0.778	0.885	0	-0.036
rejection	0	-1	1	0	-0.667
rejoice	0.815	0.745	0	0.893	0.818
rejoicing	0.723	0.617	-0.225	0.325	0.48
rejuvenation	0.055	-0.041	0.022	-0.152	-0.026
relate	0.032	0.261	-0.157	0.198	0.111
relate music	0.244	-0.085	0.058	-0.029	0.081
relate person	0.055	0.117	-0.11	0.081	0.048
relation	0.053	0.123	-0.139	0.068	0.035
relationship	0.767	0.985	0	0.918	0.89
relative	0.058	0.126	-0.136	0.088	0.045
relax	0.838	0.744	0	0.874	0.819
relax mind	0.741	0.898	0	0.734	0.791
relax muscle	0.997	0.805	0	0.803	0.868
relay information	0.043	-0.152	0.108	-0.222	-0.045
release	0	-0.113	0.128	-0.086	-0.034
release energy	0.044	-0.024	0	0	0.023
release stress	0.224	-0.188	0.137	-0.133	0.047
release tension	0.194	-0.015	0	0	0.07
relevance	0.086	0.088	-0.162	0.221	0.078
relevant	0	0	-0.11	0.211	0.034
reliability	0.948	0.824	0	0.941	0.904
reliable	0.874	0.914	0	0.838	0.875
relief	0.163	0.156	-0.234	0	0.028
relieve	0.615	0.643	-0.247	0.29	0.434
relieve boredom	0.78	0	0	0.851	0.544
relieve pain	-0.09	-0.038	0.03	-0.289	-0.124
relieve stress	0.953	0.989	0	0.955	0.966
relieve tension	0.157	0	-0.048	0	0.036
religion	0.979	0.747	0	0.886	0.871
religious	0.783	0.804	0	0.826	0.804
religious action	0.034	0.411	-0.12	0.399	0.241
religious belief	0.776	0.796	0	0.942	0.838
religious build	0.772	0.732	0	0.705	0.736
religious ceremony	0.819	0	0	0.918	0.579
religious event	0.75	0.742	0	0.957	0.816
religious experience	0.571	0.573	0	0.774	0.639
religious fanatic	0.056	0.107	0	0.09	0.084
religious figure	0.836	0.913	0	0.946	0.898
religious fundamentalist	-0.301	0.083	-0.21	-0.178	-0.202
religious icon	0	0.273	0	0.204	0.159
religious leader	0.031	0.232	0	0.209	0.157
religious man	0.036	0.195	0	0.177	0.136
religious official	0.035	0.257	0	0.234	0.175
religious person	0.904	0.761	0	0.762	0.809
religious place	0.709	0.812	0	0.816	0.779
religious purpose	0.08	0.325	-0.057	0.307	0.218
religious service	0.051	0.291	0	0.322	0.221
religious significance	0.055	0.219	-0.06	0.15	0.121
religious tract	0	0.076	0	0.066	0.047
relish	0.969	0.9	0	0.967	0.945
relocation	-0.023	0.119	-0.065	0.216	0.082
rely	-0.232	0.325	-0.297	0.392	0.063
remain	0.038	0.097	-0.104	0.136	0.056
remainder	0.04	0.084	0	0.093	0.072
remark	-0.034	0.114	-0.098	0.234	0.072
remember	-0.091	0.143	0	0.076	0.043
remember childhood	0	-0.098	0.105	-0.144	-0.05
remember date	-0.105	0	0	-0.044	-0.05
remember event	-0.12	0.196	-0.066	0.08	0.03
remember fact	0.689	0.893	0	0.787	0.79
remember information	0.69	-0.89	0	0.88	0.82
remember late	-0.127	-0.004	0.052	-0.123	-0.099
remind	0.111	0.187	-0.099	0.161	0.12
reminder	-0.028	0.096	0	0.114	0.061
remission	0.392	0.196	0	0.345	0.311
remittance	-0.054	0.267	-0.123	0.154	0.081
remorse	-1	0	0	-1	-0.667
remorseful	-0.884	0.178	-0.6	0	-0.435
remorsefully	-0.891	0.168	-0.609	0.05	-0.427
remote	-0.051	0.169	-0.119	0.157	0.052
removal	-0.053	0.23	-0.166	0.156	0.056
remove	0	0	0.025	0.093	0.023
remove clothes	-0.076	0	-0.047	-0.03	-0.051
remove dirt	0.024	0	0	0.068	0.031
remove dirt body	0.075	0	0	0	0.025
remove heat	0.196	0.077	0	0.064	0.112
remove paint	-0.045	-0.03	0.069	0	-0.028
remove shoes	-0.029	-0.046	0.033	-0.151	-0.056
remove stain	0	0.076	-0.059	0.082	0.033
rend	-0.028	0.259	-0.111	0.104	0.075
rendezvous	0.049	0.078	0	0.051	0.059
renew energy	0.884	0	0	0	0.295
renewable resource	0.032	0	0	0.078	0.037
repair shop	0	-0.037	0.029	-0.098	-0.03
repair umbrella	0	-0.011	0.078	-0.039	-0.035
repay	-0.097	0.301	-0.126	0.187	0.088
repeat	-0.1	0.242	-0.13	0.196	0.069
repeat action	-0.062	0.194	-0.205	0.208	0.045
repel	-0.07	0.133	0.697	-0.672	-0.435
repellant	-0.089	0.158	0.659	-0.656	-0.415
repellent	-0.089	0.158	0.659	-0.656	-0.415
repelling	-0.089	0.158	0.659	-0.656	-0.415
repent	-0.848	0	0	-0.78	-0.543
repentance	-0.711	0	0	-0.827	-0.513
repentant	-0.909	0.142	-0.637	0.07	-0.445
repentantly	-0.909	0.142	-0.637	0.07	-0.445
repetition	-0.112	0.187	-0.165	0.167	0.026
repetitive	-0.053	0.105	-0.055	0.103	0.033
repetitive action	-0.045	0.162	-0.193	0.158	0.027
repetitive task	-0.281	0	-0.112	-0.153	-0.182
replace	0	0	-0.095	0.353	0.086
replacement	0	0.124	0	0.055	0.06
replay	-0.094	0.147	-0.112	0.205	0.049
replicate	-0.024	0.167	-0.061	0.217	0.1
reply	-0.056	0.092	-0.124	0.217	0.043
reply question	-0.119	0.075	-0.085	0	-0.043
report crime	-0.135	-0.013	0	-0.08	-0.067
report event	-0.07	-0.116	0.031	-0.163	-0.049
report news	-0.05	-0.06	0.025	-0.192	-0.069
reporter	-0.058	0.073	-0.095	0	-0.027
repose	0.621	0.648	-0.252	0.296	0.438
represent	0	0.128	-0.117	0.228	0.08
represent idea	0.827	0	0	0	0.276
representation	0	0.157	0	0.147	0.101
representative	0.044	0.182	-0.125	0.093	0.065
reprimand	-0.504	-0.029	-0.289	-0.104	-0.289
reproduce	0.039	0.109	-0.074	0.147	0.074
repugnance	-0.062	0.123	0.712	-0.678	-0.443
repugnant	-0.062	0.123	0.712	-0.678	-0.443
repulse	-0.062	0.123	0.712	-0.678	-0.443
repulsion	-0.062	0.123	0.712	-0.678	-0.443
repulsive	-0.062	0.123	0.712	-0.678	-0.443
repulsively	-0.062	0.123	0.712	-0.678	-0.443
reputation	0.728	0.977	0	0.939	0.881
request	0	0.734	0	0	0.245
require	-0.03	0.221	-0.182	0.159	0.056
require electricity	0.066	0	0.049	0.086	0.034
require signature	0	0.181	0	0.055	0.079
requirement	-0.023	0.335	-0.314	0.311	0.103
rescue	0	0	0	0.912	0.304
research	0.887	0.877	0	0	0.588
research subject	-0.158	-0.081	-0.065	-0.087	-0.076
research topic	-0.13	0	0.041	-0.161	-0.111
researcher	0	0.073	-0.077	-0.066	-0.023
resentful	0.034	0.126	0.758	-0.673	-0.424
resentfully	0.034	0.126	0.758	-0.673	-0.424
resentment	0	0.128	0.658	-0.681	-0.404
reservation	0	0.084	0	0	0.028
reserve	0.049	0.277	-0.152	0.168	0.114
reside	0.071	0.115	-0.088	0.167	0.088
residence	0.038	0.098	0	0.154	0.097
resident	0.046	0.076	-0.063	0.059	0.039
residue	0.059	-0.022	0	0	0.027
resign	-0.465	0.398	-0.173	-0.192	-0.144
resignation	-0.465	0.398	-0.173	-0.192	-0.144
resignedly	-0.465	0.398	-0.173	-0.192	-0.144
resistance	0.067	0	0	-0.141	-0.025
resolution	-0.032	0.247	-0.193	0.238	0.087
resolve	-0.098	0.083	-0.059	0	-0.025
resolve conflict	0	0.144	0	0	0.048
resolve dispute	0.533	0.818	0	0.683	0.678
respect	0.324	0.461	-0.347	0.442	0.293
respond	-0.095	0.091	-0.088	0.179	0.029
response	-0.086	0.078	-0.084	0.177	0.028
responsibility	-0.042	0.254	-0.278	0.181	0.038
responsible	0.955	0.945	0	0.835	0.912
rest	0.064	-0.058	0.02	0	0.034
rest area	0	0	0	-0.08	-0.027
rest foot	0	-0.07	0.052	-0.09	-0.024
rest leg	0	-0.032	0.056	-0.072	-0.032
rest night	0.051	0.072	0	0.062	0.062
rest place	0	0.074	0	0.107	0.06
restaurant	0.06	-0.012	0	0	0.024
restaurant bill	0.044	0.08	0	-0.03	0.031
restaurant diner	0.076	0.083	0	-0.064	0.032
restful	0.159	0.16	0	0.218	0.179
restive	-0.472	0.41	-0.196	-0.179	-0.146
restiveness	-0.471	0.411	-0.196	-0.18	-0.145
restless	0	0	0.033	-0.096	-0.043
restlessness	-0.468	0.371	-0.187	-0.199	-0.161
restore	-0.145	0	-0.101	0	-0.082
restrain	-0.231	-0.018	-0.137	-0.07	-0.14
restraint	-0.027	0.201	-0.061	0.246	0.12
restrict	-0.337	-0.086	0.011	-0.239	-0.167
restrict access	0.051	0.165	-0.069	0.174	0.107
restrict freedom	-0.205	-0.005	-0.057	-0.072	-0.11
restriction	0	0	0.764	-0.777	-0.514
result	-0.094	0.205	-0.163	0.183	0.044
result death	0	0	-0.89	-0.781	-0.557
result injury	-0.027	0.113	-0.088	0.221	0.073
resume	-0.06	0.149	-0.093	0.181	0.059
retain	0.028	0.239	-0.166	0.295	0.132
retention	0.105	0.226	-0.083	0.176	0.141
retire	0.078	0.088	-0.071	0	0.032
retirement	0.157	-0.042	-0.047	-0.052	0.033
retort	-0.066	0.089	-0.082	0.236	0.059
retreat	0	0	-0.13	-0.076	-0.069
retribution	-0.375	0.11	-0.218	-0.068	-0.184
retrieve	0.026	0.165	-0.121	0.292	0.121
return	-0.077	0.354	-0.214	0.366	0.143
return goods	-0.065	0.097	0	0.076	0.036
return home	-0.091	0.085	-0.064	0	-0.023
return ticket	0	0	0.014	-0.115	-0.043
reunion	0.119	-0.132	-0.062	0	0.063
reveal	-0.07	0	0	0.207	0.046
reveal truth	0.698	-0.547	0	0.995	0.747
revenge	0	0	-0.965	-0.935	-0.633
revengefully	-0.031	0.157	0.698	-0.661	-0.411
revenue	-0.058	0.307	-0.123	0.148	0.091
revere	0.047	0.555	-0.337	0.171	0.145
reverence	0.047	0.555	-0.337	0.171	0.145
reverent	0.047	0.555	-0.337	0.171	0.145
reverentially	0.047	0.555	-0.337	0.171	0.145
reverently	0.047	0.555	-0.337	0.171	0.145
review book	-0.067	-0.101	0.046	-0.152	-0.055
review material	-0.097	-0.011	0.051	-0.177	-0.105
review note	-0.113	-0.083	0.039	-0.249	-0.106
revise	-0.175	0	0	-0.128	-0.101
revitalize oneself	0	0	0.037	-0.045	-0.027
revolt	0	0	0.729	-0.788	-0.506
revolting	-0.089	0.158	0.659	-0.656	-0.415
revoltingly	-0.089	0.158	0.659	-0.656	-0.415
revolution	-0.045	0.103	-0.097	-0.09	-0.043
revolutionary	0	0	0	-0.122	-0.041
revolve	0	0.134	-0.088	0.225	0.09
revolver	0	-0.039	0	-0.162	-0.041
revulsion	-0.062	0.123	0.712	-0.678	-0.443
reward	0	0.293	-0.172	0.172	0.098
rewind	-0.135	0	-0.084	-0.088	-0.102
rhapsody	0.101	-0.049	0.036	0	0.038
rhetoric	0	0.075	0	0.152	0.076
rhyme	0.956	0.807	0	0.929	0.897
rhythm	0.102	-0.064	0.084	0.055	0.046
rhythmic	0.109	0	0.04	0.176	0.082
ribbon	0	-0.115	0.027	0	0.029
rich	0	0.294	-0.135	0.129	0.096
rich person	0.883	0.759	0	0.718	0.787
riches	0.068	0.171	0	0.117	0.119
richness	0.144	0.266	-0.051	0.269	0.209
rick	0.037	0.144	-0.059	0.199	0.107
ridden	-0.034	0.131	-0.072	0.121	0.049
ride	0.043	0	-0.085	0.166	0.041
ride airplane	0.037	-0.133	0.092	-0.156	-0.026
ride bus	-0.082	0	0	0	-0.027
ride roller coaster	-0.183	0	-0.142	-0.111	-0.145
ride subway	-0.059	0.176	-0.066	0.125	0.059
ridge	0.029	0.096	0.013	0	0.037
ridgeback	-0.027	-0.007	0	0.121	0.034
ridicule	0	0	0.808	0	-0.269
ridiculous	-0.386	-0.086	0	-0.34	-0.213
rifle	0	-0.048	0	-0.166	-0.039
right	0.961	0.916	0	0.901	0.926
right-wing	-0.56	0.236	-0.544	0.294	-0.191
right angle	0.049	0.088	0.071	0.078	0.048
right injustice	-0.126	0.097	-0.051	0	-0.027
right now	0	-0.013	-0.126	0.184	0.024
rigid	0	0.066	0.056	0.111	0.04
rile	-0.141	0.098	0.662	-0.656	-0.454
riled	-0.141	0.098	0.662	-0.656	-0.454
rind	0	0.141	0.01	0.115	0.082
ring	0.052	0	0	0.118	0.057
ring doorbell	-0.155	0	-0.059	-0.032	-0.082
ring ear	0.263	-0.145	0.066	-0.182	0.053
ring loudly	0.033	0.095	0.062	0.167	0.078
riot	-0.895	0	0.829	-0.926	-0.883
riotously	0.512	0.658	-0.254	0.256	0.391
rip	-0.113	-0.003	0	-0.165	-0.092
ripe	0	0.138	-0.065	0.221	0.098
rise	0	0.124	-0.075	0.115	0.055
rise plant	0.042	0.166	-0.12	0.178	0.089
rise up	0	0.229	-0.115	0.243	0.119
rise water	0	0	0	0.09	0.03
risen	0	0.338	-0.109	0.24	0.156
risk	-0.916	0	-0.759	-0.87	-0.848
risky	-0.155	-0.064	-0.211	-0.054	-0.119
rite	0	0	0	0.86	0.287
ritual	0	0	0	0.813	0.271
rival	-0.126	0.115	-0.064	-0.119	-0.065
riverbed	-0.023	-0.035	0.047	-0.081	-0.039
roach	0.021	-0.104	0.248	-0.299	-0.141
road rage	-0.103	-0.049	0	-0.147	-0.067
road sign	0.038	0.145	0	0.113	0.099
roadblock	0	0	0	-0.125	-0.042
roar	0	0	-0.87	0	-0.29
roast	0.032	-0.068	0	0	0.033
rob	-0.75	0	0.847	-0.783	-0.793
rob bank	-0.05	-0.057	-0.078	0.145	0.025
robbery	-0.057	0.261	-0.177	0.052	0.026
robe	0	-0.051	0.084	-0.04	-0.024
rock climb	0.042	0	-0.053	-0.105	-0.039
rock formation	0.039	0.073	0.038	0.107	0.06
rock music	0.061	0	0.017	0.098	0.047
rock out	0.061	-0.124	0.118	-0.168	-0.034
rock roll	0.753	0	0	0.869	0.541
rock star	0.979	0.982	0	0.752	0.904
rocker	0.107	-0.046	0	0	0.051
rod	0.166	-0.112	0.025	0	0.084
rodeo	0.072	0	-0.091	0.093	0.025
rogue	0	0	0	-0.905	-0.302
role play	-0.035	0	-0.095	0.058	-0.024
roll	0	-0.06	0	0.065	0.042
roll away	0.081	0	0	0.065	0.049
roll ball	-0.172	0	-0.078	-0.044	-0.098
roll dice	0	-0.09	0.084	-0.096	-0.03
roll down hill	-0.118	0	-0.052	0	-0.057
roll downhill	-0.074	-0.022	-0.046	0	-0.033
roll over	-0.073	0	-0.049	0	-0.041
roll stone	0.241	0.185	-0.114	0.16	0.157
roller	-0.038	0.077	0.048	0.091	0.027
roller-coaster	0.083	-0.024	0	-0.028	0.026
roller coaster	0.05	-0.043	0	0	0.031
roller coaster ride	0	-0.013	-0.23	0.065	-0.051
roller skate	-0.069	-0.053	0.035	-0.028	-0.026
roman	0	0.123	0	0.156	0.093
romance	0.974	0.789	0	0.828	0.864
romance novel	0.124	0.163	-0.203	0.213	0.099
romantic	0.99	0.885	0	0.91	0.928
romantic dinner	0.701	0.8	0	0.762	0.754
romeo juliet	0.713	0.825	0	0.907	0.815
room part	0	0.078	0.078	0.127	0.042
root evil	0	0.196	0.105	0.167	0.086
root on	0.655	0.635	-0.237	0.3	0.451
root vegetable	0.071	0	0.031	0.064	0.035
rope	-0.035	-0.047	0.084	-0.065	-0.046
rosary	0.021	0.281	0	0.261	0.188
rosebud	0.029	0	0	0.05	0.026
rot	0	0	-0.942	-0.966	-0.636
rotary phone	0.037	0	0.045	0.168	0.053
rotate	0.056	0.104	0	0.231	0.13
rotate movement	0.037	0.087	0	0.259	0.128
rotation	0.024	0	0.034	0.205	0.065
rote	-0.062	0.237	-0.062	0.226	0.113
rotten food	0	0	-0.843	-0.901	-0.581
rotten fruit	-0.232	-0.095	0	-0.24	-0.126
rough game	0	-0.091	0.011	0.089	0.056
rough sport	0	-0.085	0	0.086	0.057
round	0.025	-0.009	0.093	0.133	0.025
round bread	0.054	-0.013	0.036	0.132	0.054
round brush	0	-0.069	0.076	-0.135	-0.047
round circle	0.021	0	0.039	0.149	0.044
round fruit	0.034	0.067	0.064	0.106	0.048
round object	0.041	-0.064	0.09	0.113	0.043
round orb	0.053	-0.027	0.093	0.134	0.04
round pastry	0.09	-0.016	0.02	0.112	0.066
round shape	0.029	-0.018	0.102	0.161	0.035
round top	0.036	0	0.079	0.189	0.049
round trip ticket	0	-0.035	0.026	-0.091	-0.027
round white	0.024	-0.056	0.058	0.093	0.038
rover	0.052	0.119	0	0.141	0.104
row seat	0	-0.046	-0.087	-0.044	-0.028
rowboat	0	-0.052	0.082	-0.078	-0.036
royal	0.059	0.076	-0.059	0.079	0.052
royal flush	0.032	0.109	-0.067	0.052	0.042
royal leader	0.052	0.073	0	0.079	0.068
royal person	0.075	0.073	-0.092	0.162	0.073
royal title	0.07	0.073	-0.086	0.17	0.076
royalty	0.06	0.111	-0.048	0.135	0.086
rub	0.043	0.089	-0.176	0.191	0.049
rubber ball	0	-0.113	0.045	0	0.023
rubber duck	0.036	0.084	0	0	0.04
rubbery	-0.039	0.114	0	0.243	0.106
rubbish	-0.88	0	0.851	-0.904	-0.878
rubble	-0.071	-0.105	0.045	-0.082	-0.031
rude	-0.748	0	0.85	-0.915	-0.838
rudeness	-0.718	0	0.742	-0.748	-0.736
rue	-0.893	0.167	-0.612	0.051	-0.429
rueful	-0.884	0.178	-0.6	0	-0.435
ruefully	-0.891	0.168	-0.609	0.05	-0.427
ruefulness	-0.866	0.2	-0.577	0	-0.414
ruff	0.022	-0.117	0.014	0.057	0.061
rug	-0.025	-0.042	0.057	-0.08	-0.04
ruin	-0.097	-0.019	0	-0.069	-0.049
rule	0	0.113	0	0.105	0.073
rule country	-0.044	0.15	0	0.062	0.056
rule world	0	0.964	0	0.724	0.563
rum	0.149	0	0	-0.043	0.035
ruminative	0.043	0.606	-0.284	0.105	0.157
run a lot	0.11	0	0	0.095	0.068
run around	-0.066	-0.095	0	-0.113	-0.028
run away	-0.114	0.138	-0.185	0.076	-0.028
run basis	0.213	0	0	0	0.071
run business	0.373	0.185	-0.074	0.374	0.286
run car	0	0	-0.047	0.13	0.028
run errand	-0.031	-0.079	0.054	-0.094	-0.033
run far	-0.105	0.071	0	-0.058	-0.031
run fast	-0.053	-0.011	0.038	0	-0.027
run first base	-0.048	-0.116	0.081	-0.131	-0.048
run jump	-0.055	0	0	0.129	0.025
run long time	-0.065	-0.027	0.021	-0.06	-0.04
run mile	-0.112	0	-0.051	-0.029	-0.064
run out	0	0.084	0	0.074	0.053
run out booze	-0.055	-0.054	0	-0.163	-0.055
run out breath	-0.056	-0.083	0.03	-0.112	-0.038
run out gas	0	0	-0.943	-0.77	-0.571
run out ink	-0.134	0.102	-0.051	0	-0.028
run out money	-0.147	0.1	-0.081	-0.057	-0.062
run out time	0	-0.823	-0.996	0	-0.058
run over car	-0.32	-0.068	0	-0.213	-0.155
run place	-0.058	0	0.023	-0.049	-0.043
run president	0	0.796	0	0.983	0.593
run quickly	-0.086	-0.016	0	0	-0.023
